No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
59;Telur Ayam;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
60;Telur Ayam;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
61;Telur Ayam;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24000
62;Telur Ayam;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24500
63;Telur Ayam;07/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
64;Telur Ayam;07/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
65;Telur Ayam;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
66;Telur Ayam;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
67;Telur Ayam;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
68;Telur Ayam;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26000
69;Telur Ayam;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
70;Telur Ayam;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
71;Telur Ayam;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
72;Telur Ayam;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24500
73;Telur Ayam;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
74;Telur Ayam;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26500
75;Telur Ayam;08/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
76;Telur Ayam;08/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
77;Telur Ayam;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
78;Telur Ayam;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
79;Telur Ayam;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24000
80;Telur Ayam;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
81;Telur Ayam;08/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
82;Telur Ayam;08/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27000
83;Telur Ayam;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
84;Telur Ayam;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
85;Telur Ayam;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
86;Telur Ayam;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;25500
87;Telur Ayam;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
88;Telur Ayam;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
89;Telur Ayam;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
