No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
54;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
55;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;57500
56;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;42500
57;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Depok;Pasar Agung;57500
58;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;52500
59;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;57500
60;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
61;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;48000
62;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
63;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;48000
64;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;41000
65;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;60000
66;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
67;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;48000
68;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;47500
69;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
70;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
71;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;45000
72;Cabai Rawit Merah;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
73;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;52500
74;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
75;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Depok;Pasar Agung;52500
76;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;47500
77;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
78;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
79;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;47500
80;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
81;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;48000
82;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;37500
83;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;57000
84;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;59000
85;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;46500
86;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;46500
87;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;51000
88;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;50000
89;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;45000
90;Cabai Rawit Merah;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;45000
91;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;50000
92;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
93;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Depok;Pasar Agung;50000
94;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;47500
95;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
96;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
97;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;42500
98;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
99;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;49000
100;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;39000
101;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;56000
