No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
59;Bawang Merah;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;36500
60;Bawang Merah;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
61;Bawang Merah;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;28500
62;Bawang Merah;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
63;Bawang Merah;07/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;31000
64;Bawang Merah;07/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
65;Bawang Merah;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;28000
66;Bawang Merah;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
67;Bawang Merah;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
68;Bawang Merah;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
69;Bawang Merah;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
70;Bawang Merah;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;28000
71;Bawang Merah;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
72;Bawang Merah;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;29000
73;Bawang Merah;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
74;Bawang Merah;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
75;Bawang Merah;08/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
76;Bawang Merah;08/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
77;Bawang Merah;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
78;Bawang Merah;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
79;Bawang Merah;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;28500
80;Bawang Merah;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
81;Bawang Merah;08/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;31000
82;Bawang Merah;08/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
83;Bawang Merah;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;28000
84;Bawang Merah;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
85;Bawang Merah;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
86;Bawang Merah;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
87;Bawang Merah;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
88;Bawang Merah;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;28000
89;Bawang Merah;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
90;Bawang Merah;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;29000
91;Bawang Merah;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
92;Bawang Merah;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
93;Bawang Merah;09/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
94;Bawang Merah;09/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
95;Bawang Merah;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
96;Bawang Merah;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
97;Bawang Merah;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;27000
98;Bawang Merah;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
99;Bawang Merah;09/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;30000
100;Bawang Merah;09/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
101;Bawang Merah;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;26000
102;Bawang Merah;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
103;Bawang Merah;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
104;Bawang Merah;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
105;Bawang Merah;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
106;Bawang Merah;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
107;Bawang Merah;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
108;Bawang Merah;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;29000
109;Bawang Merah;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
110;Bawang Merah;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
111;Bawang Merah;10/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
112;Bawang Merah;10/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;29000
113;Bawang Merah;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;30000
114;Bawang Merah;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
115;Bawang Merah;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;27000
116;Bawang Merah;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
117;Bawang Merah;10/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;30000
118;Bawang Merah;10/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27000
119;Bawang Merah;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;26000
120;Bawang Merah;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
121;Bawang Merah;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
122;Bawang Merah;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
123;Bawang Merah;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
124;Bawang Merah;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
125;Bawang Merah;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
126;Bawang Merah;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;29000
127;Bawang Merah;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;32500
128;Bawang Merah;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;31000
129;Bawang Merah;11/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
130;Bawang Merah;11/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;29000
131;Bawang Merah;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;30000
132;Bawang Merah;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
133;Bawang Merah;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;27000
134;Bawang Merah;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
135;Bawang Merah;11/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;30000
136;Bawang Merah;11/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27000
137;Bawang Merah;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;26000
138;Bawang Merah;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
139;Bawang Merah;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
140;Bawang Merah;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
141;Bawang Merah;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
142;Bawang Merah;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
143;Bawang Merah;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
144;Bawang Merah;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;29000
145;Bawang Merah;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;32500
146;Bawang Merah;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;29000
147;Bawang Merah;14/01/2019;Jawa Barat;Kota Depok;Pasar Agung;35000
148;Bawang Merah;14/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26500
149;Bawang Merah;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
150;Bawang Merah;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
151;Bawang Merah;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;27000
152;Bawang Merah;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
153;Bawang Merah;14/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;29000
154;Bawang Merah;14/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
155;Bawang Merah;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;26000
156;Bawang Merah;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
157;Bawang Merah;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
158;Bawang Merah;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;27000
159;Bawang Merah;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
160;Bawang Merah;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
161;Bawang Merah;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
162;Bawang Merah;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
163;Bawang Merah;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;32500
164;Bawang Merah;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;29000
165;Bawang Merah;15/01/2019;Jawa Barat;Kota Depok;Pasar Agung;35000
166;Bawang Merah;15/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26500
167;Bawang Merah;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
168;Bawang Merah;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
169;Bawang Merah;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;26000
170;Bawang Merah;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
171;Bawang Merah;15/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;27000
172;Bawang Merah;15/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
173;Bawang Merah;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25500
174;Bawang Merah;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24500
175;Bawang Merah;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
176;Bawang Merah;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;27000
177;Bawang Merah;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;24000
178;Bawang Merah;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
179;Bawang Merah;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
180;Bawang Merah;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
181;Bawang Merah;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
182;Bawang Merah;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;29000
183;Bawang Merah;16/01/2019;Jawa Barat;Kota Depok;Pasar Agung;35000
184;Bawang Merah;16/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26500
185;Bawang Merah;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
186;Bawang Merah;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
187;Bawang Merah;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;26000
188;Bawang Merah;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
189;Bawang Merah;16/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;27000
190;Bawang Merah;16/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
191;Bawang Merah;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25500
192;Bawang Merah;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
193;Bawang Merah;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25000
194;Bawang Merah;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;25500
195;Bawang Merah;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;24000
196;Bawang Merah;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26000
197;Bawang Merah;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
198;Bawang Merah;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
199;Bawang Merah;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
200;Bawang Merah;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27500
201;Bawang Merah;17/01/2019;Jawa Barat;Kota Depok;Pasar Agung;35000
202;Bawang Merah;17/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25000
203;Bawang Merah;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
204;Bawang Merah;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
205;Bawang Merah;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;26000
206;Bawang Merah;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
207;Bawang Merah;17/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;28000
208;Bawang Merah;17/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
209;Bawang Merah;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25000
210;Bawang Merah;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
211;Bawang Merah;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
212;Bawang Merah;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;27000
213;Bawang Merah;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;22000
214;Bawang Merah;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;20000
215;Bawang Merah;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
216;Bawang Merah;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
217;Bawang Merah;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
218;Bawang Merah;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26500
219;Bawang Merah;18/01/2019;Jawa Barat;Kota Depok;Pasar Agung;35000
220;Bawang Merah;18/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25000
221;Bawang Merah;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
222;Bawang Merah;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
223;Bawang Merah;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;26000
224;Bawang Merah;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
